movie,contents,score
브로큰 서클,ㅡ저 송효정이라는 영화 평론가 처럼 대충 꼬리표 식으로 달고서 5점을 매기는 일은 이 영화에 대한 모독이자 자신의 저급한 안목이 문제가 아닐까,10
브로큰 서클,"몸에 새겨도 영원치 않고, 이름을 바꾸어도 변화되지 않을 때, 현실주의자는 현재를 파괴하고, 이상주의자는 미래를 지운다...최고의 연기.",10
브로큰 서클,원스이후 최고의 음악드라마를 만났다. 10점을 주어도 아깝지 않다. 이새벽에 일어나게 만드는 음악과 사랑이야기!,9
브로큰 서클,가슴이 아팠지만 아름다웠다.,9
브로큰 서클,간만에 볼만한 영화라 반가운 마음이 먼저 드네요.,10
브로큰 서클,송효정이란 사람은 뭐지? 5점을 준다는게 말이 되나. 이 영화는 아카데미 시상식 외국어영화상 후보에도 오른 작품이다! 저런 수준의 사람들이 영화평론가랍시고 설치니 여지껏 한국영화가 미국 아카데미 예선 통과도 못한거다.,10
브로큰 서클,간만에 좋았던 영화 .. 친구들에게도 추천하는 영화!,10
브로큰 서클,"잔잔하면서도 감동적인 영화입니다.애인,사랑, 결혼,자식,이별,죽음~블루그래스 음악도 알게 되고",9
브로큰 서클,근 몇년사이에 본것중 최고였음.,10
브로큰 서클,두말할 것도 없이 최고의 영화!!,10
브로큰 서클,이번 겨울에 꼭 봐야할 영화 강추,10
브로큰 서클,올 가을 영화로 괜찮네요 극장가서 보고 싶네요^^,10
브로큰 서클,눈물이 눈물을 닦아내는 정말좋은영화.,10
브로큰 서클,아직까지 여운이.... 우연히 봤다가 펑펑 울었네요. 음악때문에 감동이 백배!,10
브로큰 서클,기대없이 봤다가 너무너무 반하게 된 영화! 가을 감성에 딱!,9
브로큰 서클,인간의 연약함과 죄성을 볼 수 있어서 좋았습니다.,8
브로큰 서클,재밌다.123456,10
브로큰 서클,내인생최고의작품입니다,10
브로큰 서클,원스이후 최고의 영화~짱!!!,10
브로큰 서클,평점 조절..제 주관적인 평점은 9점이요음악이 너무 좋아서 영화를 보고 난후에도 찾아서 계속 듣고 있네요~전 스토리보다는 음악이 더 좋네요^^,10
브로큰 서클,꼭 그랬어야 했나 싶었던 영화.. 좋은 영화네요,10
브로큰 서클,이겨낼 수 없는 슬픔을 사랑과 음악으로 견디는법,8
브로큰 서클,컨트리 음악에 실은 사랑과 생사의 드라마. 신성모독은 통쾌했으나 삶의 무게는 답답했다.,7
브로큰 서클,씨네21| 송효정   여기다 그만 글 올려라/...,8
브로큰 서클,엘리제의 사랑스런 눈빛에 사로잡혀 버렸다... 어떻게해...,10
브로큰 서클,감동적인 영화. 반드시 보셔야 합니다.,10
브로큰 서클,뭐야 울동네 왜개봉안해!! 서울까지가야되? OO,10
브로큰 서클,이 계절에 맞는 감성돋는 영화네요~좋습니다~,10
브로큰 서클,쓸쓸한 가을  감성을 채워주는 영화네요.. 사랑하고시프다...,9
브로큰 서클,단언컨대 올 가을 최고의 영화!! 장담한다!!,10
브로큰 서클,나도 모르게 눈물이 주륵주륵! 가을 감성 영화! 강추!!!!OST너무 좋아요!!!!,10
브로큰 서클,같은여자인데 엘리제한테반햇어요 노래도좋고.. 힐링되는영화였어요!!,10
브로큰 서클,힐링이 필요 하다면 꼭 봐야 할 영화!!,10
브로큰 서클,"믿음을 부서트리기 위한 악마의 장치, 브로큰 써클. 욥기를 다시금 되새겨본다.",5
브로큰 서클,나도 이렇게 멋진 사랑을 하고 싶다아아앙,10
브로큰 서클,Breakdown.,3
브로큰 서클,영화 망할만 하네 존나 핵노잼이다 진짜,1
브로큰 서클,심정은 알겠는데... 너무 슬픔을 강요하는게 짜증난다. 또한 중구난방 플래시 백의 사용은 정말 최악.,6
브로큰 서클,슬퍼서 눈물도 많이 흘렸으나 재미는 없는편이고 써있는 줄거리가 전부.,7
브로큰 서클,삐료! 정말화가난다! !,1
브로큰 서클,맨날 울고불고 꼭 누구 하나 죽고.. 뻔한 구닥다리 방화.,1
시네마 천국,배경음 love theme의 감동적인 선율과 영사기에서 나오는 달콤한 키스 장면들을 보며 토토의 회상에 젖은듯한 애잔한 표정 지금도 잊을수가 없다.,10
시네마 천국,불멸의 명작. 영화인을 꿈꾸는 사람이라면 반드시 봐야할 영화,9
시네마 천국,"탄탄한 스토리와 거장 엔니오 모리꼬네가 만들어낸 최고의 영화. 몇번을 봐도 마지막장면에선 항상 토토와 함께 눈물을 흘린다. 우정, 사랑, 추억이 어우러져 가슴을 절로 아련하게 만든다. 숨은 이야기가 담긴 감독판으로 재상영 했으면 하는 바람이..",10
시네마 천국,20년이 훨씬 지났지만 아직도 생각하면 가슴이 벅차네요...,10
시네마 천국,오랜만에 다시 보아도 너무 예쁘고 사랑스런 눈물나게 하는 영화,10
시네마 천국,지금 극장에 걸려 있는 건 축약판(123분). 축약판만 보신 분들은 꼭 감독판(173분)도 구해서 보시길. 전혀 다른 맛을 느낄 수 있음. 나는 개인적으로 감독판을 훨씬 더 좋아함...훨씬 더 뭐랄까 맛이 깊어서.,10
시네마 천국,영화관에서 절대 보지말아라 이야기를 끌어가는 주요 이야기인 엘레나와 토토의 재회부분을 끝에 통째로 들어냈다. 상영시간 때문에 그랬을거지만 이건 범죄 수준에 가깝다. 번역도 개판이고 이 영화를 진심으로 사랑하는 사람으로써 배급사 죽여버리고 싶다.,1
시네마 천국,"10대에 보았다 그때는 왜 눈물이 그치지 않는지 알수가 없었다. 30중반 이제서 다시 보고 알게 되었다.. 첫사랑같이 추억은  아름답지만  그립지만 다시는, 다시는 가질수없는 안타까움 때문이다.",10
시네마 천국,아 근데 재개봉 버전 뭐이렇게 삭제된 장면이 많냐;; 후반 엘레나 시퀀스는 통째로 삭제됐네,10
시네마 천국,삶의 모든 것이 들어있었다 ㅠㅠ,10
시네마 천국,살바토레와 알프레도의 케미는 가히 역대급이다... 명작의 가치는 역시 시대를 초월한다,9
시네마 천국,무슨 네오리얼리즘 영화도 아니고 구지 해석하고 분석하려 하지 말아라.그냥 그대로 보고 감성의 소리에 기울이면 되는 영화다.엔딩타이틀이 올라가고 극장문을 나설때 마음속에 따스한 그 무엇을 느겼다면 충분하다.나도 토토처럼 극장으로 달려가 다시 봐야지...,10
시네마 천국,신촌cgv에서 예전시네마천국  기대했는데   너무영화가  뚝뚝 끊어지냉 ㄴ누가  편집했는지  몰라도   영화  망쳐났냉   너무티나게  짤랐냉    ...,6
시네마 천국,ost만 들어도 눈물나는 영화,10
시네마 천국,"아주  먼  훗날, 이제  더는  흘릴  눈물이 남아 있을 것 같지  않을 그 날에도 조용히 마른 가슴을 적셔줄 영화...",10
시네마 천국,"왜 죽기 전에 꼭 봐야 하는 영화인지 알겠습니다. 오늘 12시 15분에 관람했는데 정말 보는 내내 감동적이었고 사랑, 인생에 대해서 되돌아보고 생각하게 해주었습니다. 이 영화를 제작해주신 영화 감독님께 진심어린 감사를 표합니다.",10
시네마 천국,살아가는 동안 누구나 하나쯤 시네마천국을 가질것이다. 이영화는 나의 시네마천국을 생각하게 끔 한 영화이다,10
시네마 천국,마지막 장면은 절대 잊을 수 없을 것이다!,10
시네마 천국,제 인생 최고의 영화였습니다.아직도 이보다 더한 감동과그리움을 느끼는 영화는 만나지 못했어요.십대때 봤던 그 감동을 아직도 잊지못해요.재개봉해서 정말 감회가 새롭네요. 어린토토.젊은토토.감독이된 어른토토..영사기 할아버지..다시만나 반가워요.,10
시네마 천국,"방금 감독판 봤는데 이런 걸작을 지금까지 못본게 후회가 될만큼 큰 감명을 받았네요. 한 사람의 삶, 사랑, 우정, 꿈, 희망, 성공 많은 것들을 생각하게 하는 영화입니다. 토토와 재회한 엘레나가 말했던거처럼 과거는 과거로 끝내야 하는걸까요?",10
시네마 천국,너무슬프다.. 말그대로 명작이다,10
시네마 천국,시대는 변하고 기억은 변하지 않기때문에아름답게 추억할수있는 과거,8
